EOI_SITE,lon,lat
FDF22062_001,142.6312065,-37.12159074
FDF22150_001,143.0917034,-37.0149277
FDF22151_001,142.7070708,-37.1899899
FDF22153_001,142.8177221,-36.9512366
FDF22154_001,142.988,-37.088
FDF22155_001,142.56,-37.037
FDF22156_001,142.87498,-37.1593019
FDF22157_001,142.811,-37.261
FDF22158_001,142.2488213,-36.36845612
FDF22078_001,141.6289401,-36.44177004
FDF22044_001,141.7009989,-36.63355693
FDF22053_001,142.0559531,-36.13354676
FDF22029_001,142.2998807,-36.81922855
FDF22069_001,142.1938626,-36.1300007
FDF22042_001,141.7696368,-37.03522574
FDF22008_001,142.6656672,-36.71347577
FDF22031_001,142.2733817,-36.42763633
FDF22030_001,142.3029207,-36.58913841
FDF22086_001,142.1929085,-36.5464048
FDF22087_001,142.2186581,-36.29163894
FDF22023_001,142.353,-36.168
FDF22088_001,142.5417961,-36.0162176
FDF22088_002,142.5013558,-36.1606011
FDF22089_001,141.4774592,-36.7155695
FDF22091_001,142.106,-36.413
FDF22046_001,141.421,-36.197
FDF22093_001,142.3960908,-36.7011733
FDF22093_002,142.5230542,-36.59912
FDF22092_001,142.0991691,-36.7407718
FDF22092_002,142.1682395,-36.5882293
FDF22054_001,141.1914659,-36.3531624
FDF22058_001,141.2690302,-36.25700831
FDF22097_001,141.349,-36.312
FDF22097_002,141.256,-36.344
FDF22068_001,141.681,-36.082
FDF22067_001,141.884,-36.295
FDF22094_001,141.777107,-36.27489913
FDF22104_001,141.872,-36.762
FDF22104_002,141.989,-36.732
FDF22089_002,141.5763127,-36.79221908
FDF22103_001,141.383,-36.7
FDF22096_001,141.575,-36.229
FDF22106_001,141.2713961,-36.8395701
FDF22057_001,141.057,-36.765
FDF22051_001,141.089,-37.09
FDF22109_001,141.5155985,-36.9268067
FDF22104_003,141.6299389,-36.8823586
FDF22101_001,142.8622538,-36.12689618
FDF22100_001,142.619128,-36.1812681
FDF22108_001,141.9013829,-36.8706931
FDF22108_002,142.0744856,-36.94701441
FDF22095_001,141.3776779,-36.29123825
FDF22095_002,141.4026756,-36.03465078
FDF22110_002,142.1866743,-36.6160441
FDF22110_001,142.3729856,-36.5339833
FDF22111_001,141.664,-36.027
FDF22112_001,141.8951648,-36.13051411
FDF22113_001,141.9783774,-36.18982478
FDF22099_002,142.678,-37.006
FDF22050_001,141.1586332,-37.04143319
FDF22159_001,141.0482217,-36.9240294
FDF22105_001,142.5495222,-36.6793632
FDF22160_001,141.3828927,-36.8642681
FDF22160_002,141.3833851,-36.95119092
FDF22161_001,141.94,-35.856
FDF22162_001,141.867,-36.313
FDF22163_001,142.5748442,-36.5154606
FDF22164_001,141.8734802,-36.25375557
FDF22164_002,141.919124,-36.24642512
FDF22158_002,142.196422,-36.3392283
FDF22155_002,142.5572653,-37.03947188
FDF22152_001,142.876,-37.018
