Location,POINT_X (Data from WCMA  Site visit),POINT_Y (Data from WCMA  Site visit)
Bungalally,142.2905235,-36.81870434
Murra Warra ,142.2733817,-36.42763633
Kalkee,142.1929085,-36.5464048
Wallup,142.2186581,-36.29163894
Crymelon,142.1938626,-36.1300007
Warracknabeal,142.353,-36.168
Douglas,141.7696368,-37.03522574
Beulah,142.5417961,-36.0162176
Lah,142.5013558,-36.1606011
Nhill,141.6289401,-36.44177004
Nurcoung,141.7058048,-36.62991158
Goroke,141.4774592,-36.7155695
Rupanyup,142.6656672,-36.71347577
Dimboola,142.106,-36.413
Lake fyans,142.6312065,-37.12159074
Landsborough,143.0917034,-37.0149277
Rhymney,142.7070708,-37.1899899
Concongella,142.876,-37.018
Broughton,141.421,-36.197
Jeparit,142.0559531,-36.13354676
Dunneworthy,142.8177221,-36.9512366
Joel South,142.988,-37.088
Stawell,142.56,-37.037
Great Western,142.87498,-37.1593019
Moyston,142.811,-37.261
Dooen,142.3029207,-36.58913841
Dooen,142.3960908,-36.7011733
Murtoa,142.5230542,-36.59912
Vectis,142.0991691,-36.7407718
Pimpinio,142.1682395,-36.5882293
Kaniva,141.1914659,-36.3531624
Kaniva,141.26903,-36.257008
Gerang Gerung ,141.884,-36.295
Netherby,141.681,-36.082
Glenlee,141.777107,-36.27489913
Kaniva,141.349,-36.312
Kaniva,141.256,-36.344
Goroke,141.546,-36.761
Peronne,141.383,-36.7
Natimuk,141.872,-36.762
Natimuk,141.936,-36.758
Langkoop,141.089,-37.09
Neuarpurr ,141.057,-36.765
Nhill,141.575,-36.229
Natimuk,141.6299389,-36.8823586
Edenhope,141.2713961,-36.8395701
Charam,141.5155985,-36.9268067
Warracknabeal,142.619128,-36.1812681
Watchem,142.8622538,-36.12689618
Noradjuha,141.9013829,-36.8706931
Clearlake,142.0744856,-36.94701441
Kaniva,141.3776779,-36.29123825
Yanac,141.4026756,-36.03465078
Wal Wal,142.556749,-36.82534
Jung ,142.1866743,-36.6160441
Kalkee,142.3729856,-36.5339833
Wallup,142.2488213,-36.36845612
Netherby,141.664,-36.027
Jeparit,141.8951,-36.1305
Jeparit,141.9783,-36.18982
