Site,Portal location,EOI_SITE,SiteAddres
Apsley,Apsley,FDF22159_001,538 Benayeo Road Apsley 3319 vic
Ashens,Ashens,FDF22105_001,"552 Ashens-jackson Road, Rupanyup, Vic 3388"
Beulah,Beulah,FDF22088_001,"Galaquil East Rd, Beulah, VIC 3391"
Beulah South,,,
Broughton,Broughton,FDF22046_001,"Croots Rd, Broughton, VIC 3418"
Bungalally,Bungalally,FDF22029_001,"423 Green Lake Rd, Bungalally VIC 3401"
Charam,Charam,FDF22109_001,2168 Harrow - Goroke Rd Charam 3318 vic
Clearlake,Clearlake,FDF22108_002,103 Scott Heir Watson Rd Clearlake 3409 vic
Concongella,Concongella,FDF22152_001,683 Landsborough rd concongella 3380
Crowlands,,,
Crymelon,Crymelon,FDF22069_001,579 John's Road Crymelon 3393 vic
Deep Lead,Deep Lead,FDF22099_001,"4093 Western Hwy, Deep Lead VIC 3385"
Dimboola East,,,
Dooen,Dooen,FDF22030_001,"1648 Henty Hwy, Dooen, VIC 3401"
Dooen 2,Dooen 2,FDF22093_001,"Longerenong Rd, Dooen, VIC 3401"
Douglas,Douglas,FDF22042_001,379 Hobbs Road Douglas 3409
Edenhope,Edenhope ,FDF22106_001,5360 Kaniva - Edenhope Rd Edenhope 3318
Edenhope 2,Edenhope 2,FDF22050_001,132 Mundarra Estate Road Edenhope 3318 vic
Gerang Gerung,Gerang Gerung ,FDF22067_001,"1300 Antwerp - Woorak Rd, Gerang Gerung, VIC 3418"
Gerang Gerung 2,Gerang Gerung 2,FDF22162_001,"760 Gerang-Glenlee Rd, Gerang Gerung, VIC 3418"
Glenlee,Glenlee,FDF22094_001,"60 Woorak - Antwerp Rd, Glenlee, VIC 3418"
Glenlee 3,Glenlee 3,FDF22164_002,McKenzie Road Glenlee 3418 Vic
Goroke,Goroke   ,FDF22089_001,"4200 Natimuk-Frances Rd , Goroke, VIC 3412"
Goroke South,Goroke South,FDF22089_002,Ampts Back Rd Goroke 3412 vic
Great Western,Great Western,FDF22156_001,"136 Allanvale Rd, Great Western, VIC 3374"
Greenfields Glenlofty,,,
Jeparit,Jeparit ,FDF22053_001,"540 Jeparit East Rd, Jeparit, VIC 3423"
Jeparit 2,Jeparit 2 ,FDF22112_001,375 Lorquon Road Jeparit 3423 vic
Jeparit 3,Jeparit 3 ,FDF22113_001,520 Tullyvea Bus Route Road Jeparit 3423 vic
Joel Joel,,,
Joel South,Joel South,FDF22154_001,"668 Joel South Rd , Joel South, VIC 3384"
Jung,Jung,FDF22110_002,Jung-Cemetry Rd Jung Vic 3401
Kalkee,Kalkee,FDF22086_001,108 Lawson road Kalkee 3401 Victoria 
Kalkee 2,Kalkee 2,FDF22110_001,896 Blue Ribbon Rd Kalkee Vic 3401
Kaniva,Kaniva,FDF22054_001,"262 Cemetery Rd, Kaniva, VIC 3419"
Kaniva 3,Kaniva 3,FDF22058_001,"149 McDonald's North South Rd, Kaniva, VIC 3419"
Kaniva 4,Kaniva 4,FDF22097_001,"Diapur Rd, Kaniva, VIC 3419"
Kaniva 5,Kaniva 5,FDF22097_002,"Vivian Rd, Kaniva , VIC 3419"
Kirkella,Kirkella,FDF22153_001,"Sinclair’s East, Dunneworthy, VIC 3377"
Lah,Lah,FDF22088_002,"Lah East Rd, Lah, VIC 3391"
Lake fyans,Lake fyans,FDF22062_001,"221 Mokepilly Rd, Lake Fyans VIC 3381"
